anio,lb_urb_anual,lb_rur_anual,lbm_urb_anual,lbm_rur_anual
2014,2812.701666666667,1926.8833333333334,1264.1358333333333,957.2291666666666
2015,2878.7375,1985.6208333333334,1309.6983333333333,991.2883333333333
2016,2938.4283333333333,2055.6825,1368.2525,1037.0591666666667
2017,3138.8825,2198.0358333333334,1459.55,1107.4091666666666
2018,3316.1341666666667,2312.4491666666668,1530.0716666666667,1157.6558333333332
2019,3443.2799999999997,2411.2166666666667,1604.1325,1214.2683333333334
2020,3550.349166666667,2510.8991666666666,1691.9691666666668,1290.325
2021,3771.3216666666667,2660.9691666666668,1803.8075000000001,1379.94
2022,4106.260833333334,2931.400833333333,2034.8758333333333,1562.9391666666668
2023,4335.3375,3128.755,2197.5091666666667,1682.855
2024,4549.3075,3282.425,2328.215833333333,1781.3391666666666
