estado,cve_ent,anio,inflacion_general,inflacion_construccion,crecimiento_salario,tasa_desocupacion
Aguascalientes,01,2011,0.030054,0.730210,0.006844,0.067942
Baja California,02,2011,0.022839,0.902351,0.006844,0.056874
Baja California Sur,03,2011,0.023747,0.306821,0.006844,0.059628
Campeche,04,2011,0.037720,-0.265876,0.006844,0.031066
Coahuila,05,2011,0.030457,0.890457,0.006844,0.076487
Colima,06,2011,0.035018,-0.092503,0.006844,0.044434
Chiapas,07,2011,0.041465,0.346525,0.006844,0.026883
Chihuahua,08,2011,0.027890,1.315151,0.006844,0.072289
Ciudad de México,09,2011,0.037346,0.774371,0.006844,0.067942
Durango,10,2011,0.039150,1.088979,0.006844,0.054348
Guanajuato,11,2011,0.034936,0.372998,0.006844,0.058942
Guerrero,12,2011,0.034502,0.776091,0.006844,0.019888
Hidalgo,13,2011,0.035070,0.039391,0.006844,0.043572
Jalisco,14,2011,0.032706,0.912775,0.006844,0.054567
México,15,2011,0.039061,1.783549,0.006844,0.067254
Michoacán,16,2011,0.039632,0.323578,0.006844,0.036107
Morelos,17,2011,0.034074,1.694062,0.006844,0.041367
Nayarit,18,2011,0.038815,0.473843,0.006844,0.041184
Nuevo León,19,2011,0.028067,-0.103397,0.006844,0.065398
Oaxaca,20,2011,0.037880,1.434058,0.006844,0.024235
Puebla,21,2011,0.050188,0.335635,0.006844,0.040435
Querétaro,22,2011,0.037109,0.561658,0.006844,0.067367
Quintana Roo,23,2011,0.029958,0.560157,0.006844,0.052502
San Luis Potosí,24,2011,0.031728,0.937793,0.006844,0.041363
Sinaloa,25,2011,0.026668,1.176296,0.006844,0.043581
Sonora,26,2011,0.022637,0.430586,0.006844,0.073498
Tabasco,27,2011,0.039148,0.566449,0.006844,0.075450
Tamaulipas,28,2011,0.033038,1.005932,0.006844,0.071461
Tlaxcala,29,2011,0.046922,1.001305,0.006844,0.066519
Veracruz,30,2011,0.039971,1.068809,0.006844,0.033188
Yucatán,31,2011,0.037220,0.521499,0.006844,0.029763
Zacatecas,32,2011,0.040034,0.713436,0.006844,0.050979
Aguascalientes,01,2012,0.039595,-0.257303,0.001176,0.066699
Baja California,02,2012,0.039185,-0.523435,0.001176,0.061092
Baja California Sur,03,2012,0.036495,-0.621807,0.001176,0.058962
Campeche,04,2012,0.038631,-0.099507,0.001176,0.030041
Coahuila,05,2012,0.033364,0.110718,0.001176,0.059571
Colima,06,2012,0.045296,-0.224428,0.001176,0.044818
Chiapas,07,2012,0.047265,0.344790,0.001176,0.021989
Chihuahua,08,2012,0.039676,-0.287430,0.001176,0.069122
Ciudad de México,09,2012,0.041094,-0.121594,0.001176,0.063064
Durango,10,2012,0.047721,-0.308481,0.001176,0.064652
Guanajuato,11,2012,0.038178,-0.493672,0.001176,0.058909
Guerrero,12,2012,0.042422,-0.349829,0.001176,0.024831
Hidalgo,13,2012,0.053003,-0.336964,0.001176,0.045381
Jalisco,14,2012,0.035558,-0.266072,0.001176,0.053176
México,15,2012,0.042148,-0.272759,0.001176,0.061982
Michoacán,16,2012,0.039962,-0.624696,0.001176,0.029430
Morelos,17,2012,0.041204,-0.261915,0.001176,0.033677
Nayarit,18,2012,0.041610,-0.267604,0.001176,0.049827
Nuevo León,19,2012,0.036086,-0.176891,0.001176,0.061129
Oaxaca,20,2012,0.042051,-0.408575,0.001176,0.029218
Puebla,21,2012,0.042984,-0.332784,0.001176,0.046497
Querétaro,22,2012,0.043239,-0.278819,0.001176,0.057366
Quintana Roo,23,2012,0.036354,-0.300385,0.001176,0.044853
San Luis Potosí,24,2012,0.046943,0.070720,0.001176,0.041076
Sinaloa,25,2012,0.045348,0.019278,0.001176,0.051341
Sonora,26,2012,0.038424,0.016881,0.001176,0.065149
Tabasco,27,2012,0.042981,-0.266260,0.001176,0.065335
Tamaulipas,28,2012,0.029704,0.085434,0.001176,0.074759
Tlaxcala,29,2012,0.046531,-0.241826,0.001176,0.065576
Veracruz,30,2012,0.043812,-0.567507,0.001176,0.039465
Yucatán,31,2012,0.043245,-0.312463,0.001176,0.027311
Zacatecas,32,2012,0.042720,-0.077177,0.001176,0.066283
Aguascalientes,01,2013,0.030388,-1.093722,0.004700,0.062015
Baja California,02,2013,0.028730,-1.360438,0.004700,0.062940
Baja California Sur,03,2013,0.038932,-1.394617,0.004700,0.053315
Campeche,04,2013,0.035803,-1.077242,0.004700,0.021562
Coahuila,05,2013,0.029308,-1.339347,0.004700,0.055264
Colima,06,2013,0.041138,-1.168133,0.004700,0.044496
Chiapas,07,2013,0.042257,-0.852606,0.004700,0.023232
Chihuahua,08,2013,0.038588,-1.082724,0.004700,0.064781
Ciudad de México,09,2013,0.042323,-1.246347,0.004700,0.062120
Durango,10,2013,0.038756,-0.851876,0.004700,0.056887
Guanajuato,11,2013,0.040224,-1.218853,0.004700,0.060749
Guerrero,12,2013,0.028407,-1.189967,0.004700,0.021731
Hidalgo,13,2013,0.042508,-1.200869,0.004700,0.047633
Jalisco,14,2013,0.035766,-0.842120,0.004700,0.048250
México,15,2013,0.036807,-1.396312,0.004700,0.059581
Michoacán,16,2013,0.036133,-1.041062,0.004700,0.037172
Morelos,17,2013,0.035071,-1.318681,0.004700,0.035474
Nayarit,18,2013,0.038282,-1.051211,0.004700,0.054963
Nuevo León,19,2013,0.029487,-1.364199,0.004700,0.057336
Oaxaca,20,2013,0.035764,-0.997744,0.004700,0.026869
Puebla,21,2013,0.032274,-1.113123,0.004700,0.039600
Querétaro,22,2013,0.041459,-0.795913,0.004700,0.050141
Quintana Roo,23,2013,0.032276,-1.537476,0.004700,0.042721
San Luis Potosí,24,2013,0.040126,-0.963639,0.004700,0.032837
Sinaloa,25,2013,0.024451,-1.062404,0.004700,0.046267
Sonora,26,2013,0.064429,-1.399650,0.004700,0.063757
Tabasco,27,2013,0.039385,-0.925650,0.004700,0.056741
Tamaulipas,28,2013,0.037041,-0.899267,0.004700,0.065696
Tlaxcala,29,2013,0.033710,-0.973166,0.004700,0.059015
Veracruz,30,2013,0.032664,-1.528649,0.004700,0.032988
Yucatán,31,2013,0.034284,-1.249766,0.004700,0.028208
Zacatecas,32,2013,0.031719,-1.124395,0.004700,0.055145
Aguascalientes,01,2014,0.032861,-6.420361,0.000390,0.055718
Baja California,02,2014,0.041315,-3.377222,0.000390,0.054305
Baja California Sur,03,2014,0.040696,-8.462875,0.000390,0.054276
Campeche,04,2014,0.052926,-31.313318,0.000390,0.024600
Coahuila,05,2014,0.038243,-1.820524,0.000390,0.055494
Colima,06,2014,0.037936,-5.237097,0.000390,0.051392
Chiapas,07,2014,0.053443,2.767429,0.000390,0.029606
Chihuahua,08,2014,0.035968,-6.779437,0.000390,0.052432
Ciudad de México,09,2014,0.044478,-3.206778,0.000390,0.061709
Durango,10,2014,0.036994,2.904001,0.000390,0.059392
Guanajuato,11,2014,0.045014,-4.038525,0.000390,0.057304
Guerrero,12,2014,0.036022,-3.922639,0.000390,0.025041
Hidalgo,13,2014,0.040623,-5.538647,0.000390,0.049984
Jalisco,14,2014,0.037986,1.526627,0.000390,0.048292
México,15,2014,0.041478,-2.075649,0.000390,0.058115
Michoacán,16,2014,0.032396,-17.874690,0.000390,0.042994
Morelos,17,2014,0.026470,-3.056971,0.000390,0.041271
Nayarit,18,2014,0.036698,-8.048209,0.000390,0.053101
Nuevo León,19,2014,0.036222,-2.588954,0.000390,0.056314
Oaxaca,20,2014,0.035070,52.626389,0.000390,0.028799
Puebla,21,2014,0.035960,-3.543546,0.000390,0.040878
Querétaro,22,2014,0.036286,1.729197,0.000390,0.054918
Quintana Roo,23,2014,0.047925,-1.379884,0.000390,0.044222
San Luis Potosí,24,2014,0.035596,12.280841,0.000390,0.034796
Sinaloa,25,2014,0.034163,-5.465947,0.000390,0.050212
Sonora,26,2014,0.027524,-1.867245,0.000390,0.055425
Tabasco,27,2014,0.050249,-1.010164,0.000390,0.066577
Tamaulipas,28,2014,0.032714,3.623726,0.000390,0.068181
Tlaxcala,29,2014,0.043985,35.918288,0.000390,0.056187
Veracruz,30,2014,0.041779,-2.611742,0.000390,0.035530
Yucatán,31,2014,0.044459,-2.275708,0.000390,0.030925
Zacatecas,32,2014,0.042537,-4.529398,0.000390,0.047355
Aguascalientes,01,2015,0.024666,0.929098,0.020265,0.059919
Baja California,02,2015,0.029365,1.422923,0.020265,0.056881
Baja California Sur,03,2015,0.022570,-0.009069,0.020265,0.058856
Campeche,04,2015,0.028492,0.032016,0.020265,0.028141
Coahuila,05,2015,0.025721,2.338032,0.020265,0.053951
Colima,06,2015,0.024393,0.554679,0.020265,0.047403
Chiapas,07,2015,0.030889,-0.193678,0.020265,0.031467
Chihuahua,08,2015,0.024857,0.564176,0.020265,0.042402
Ciudad de México,09,2015,0.031135,0.792178,0.020265,0.065767
Durango,10,2015,0.034923,0.885380,0.020265,0.058422
Guanajuato,11,2015,0.028518,0.588910,0.020265,0.048416
Guerrero,12,2015,0.025626,1.243470,0.020265,0.019688
Hidalgo,13,2015,0.034099,0.741847,0.020265,0.042655
Jalisco,14,2015,0.029188,1.312089,0.020265,0.051613
México,15,2015,0.031509,2.074278,0.020265,0.058989
Michoacán,16,2015,0.023120,0.421213,0.020265,0.035143
Morelos,17,2015,0.022452,0.736555,0.020265,0.039215
Nayarit,18,2015,0.028019,0.723455,0.020265,0.056319
Nuevo León,19,2015,0.023949,0.778392,0.020265,0.052478
