cve_ent,cve_mun,pob_mun,CVEGEO,pob_rural,pob_total,pct_rural,n_estab_4671,empleo_aprox_4671,actividades,dens_estab_10k,dens_empleo_10k,IM_2020,area_km2
1,0,1425607,1000,0,6718,0,0,0,NA,0,0,NA,NA
1,1,948990,1001,47544,951537,0.049965477,1587,7015,Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de vidrios y espejos | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,16.72304239,73.92069463,60.31879504,1161.387798
1,2,51536,1002,33776,51896,0.650840142,37,103.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de vidrios y espejos | Comercio al por menor de pintura | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de artículos para la limpieza,7.179447377,20.08304874,56.54607102,542.4423033
1,3,58250,1003,29883,58486,0.51094279,77,220,Comercio al por menor de vidrios y espejos | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura,13.21888412,37.76824034,57.05825094,936.0067608
1,4,17000,1004,8523,17187,0.495898062,14,35,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura | Comercio al por menor de artículos para la limpieza | Comercio al por menor de vidrios y espejos,8.235294118,20.58823529,57.1140301,128.3835445
1,5,129929,1005,32405,130388,0.248527472,189,677,Comercio al por menor de vidrios y espejos | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,14.54640611,52.10538063,59.0117617,551.2579843
1,6,47646,1006,12295,48220,0.254977188,65,179,Comercio al por menor de pintura | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de vidrios y espejos | Comercio al por menor de pisos y recubrimientos cerámicos,13.64227847,37.5687361,58.62476783,197.6846155
1,7,57369,1007,14807,58256,0.254171244,77,234,Comercio al por menor de vidrios y espejos | Comercio al por menor de artículos para la limpieza | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura | Comercio al por menor de pisos y recubrimientos cerámicos,13.4218829,40.7885792,57.64667135,371.9532124
1,8,9552,1008,3945,9603,0.410809122,12,35.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura | Comercio al por menor de artículos para la limpieza | Comercio al por menor de vidrios y espejos,12.56281407,37.16499162,57.52753056,792.1720347
1,9,22485,1009,13371,22765,0.587349001,20,55.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de vidrios y espejos,8.894818768,24.68312208,56.60431438,229.6610122
1,10,20853,1010,14546,21706,0.670137289,13,56,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de vidrios y espejos,6.234114995,26.85464921,56.55579422,509.9551247
1,11,61997,1011,15801,62281,0.253704982,83,247.5,Comercio al por menor de vidrios y espejos | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura | Comercio al por menor en ferreterías y tlapalerías,13.38774457,39.92128651,58.55209783,137.7694527
2,0,3769020,2000,0,14832,0,0,0,NA,0,0,NA,NA
2,1,443807,2001,46708,448024,0.104253344,385,2057,Comercio al por menor de vidrios y espejos | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de pintura | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas | Comercio al por menor de artículos para la limpieza,8.674942036,46.34897602,58.08223757,13662.82828
2,2,1049792,2002,89877,1055880,0.085120468,696,3589,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura | Comercio al por menor de vidrios y espejos | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,6.629884777,34.18772481,59.38498909,10078.26692
2,3,108440,2003,14876,110003,0.135232675,86,347.5,Comercio al por menor de artículos para la limpieza | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas | Comercio al por menor de pintura | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de vidrios y espejos | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de artículos para albercas y otros artículos,7.930652896,32.04537071,58.39007744,2900.518701
